Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount (in lac),Duration,Purpose,Risk,Income,Childern Count,Income Type,Education Type,Has a phone,Has a email id,Occupation Type
43,24,male,2,rent,moderate,little,6187,30,car,good,108000,0,Pensioner,Higher education,0,0,
44,58,female,1,free,little,little,6143,48,car,bad,202500,0,Working,Secondary / secondary special,0,0,
45,35,female,3,own,little,NA,1393,11,car,good,90000,1,Working,Secondary / secondary special,0,0,Sales staff
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,good,202500,0,Pensioner,Secondary / secondary special,0,0,
47,23,female,0,rent,quite rich,little,1352,6,car,good,99000,0,Working,Secondary / secondary special,1,0,Medicine staff
48,39,male,1,own,little,NA,7228,11,car,good,130500,0,State servant,Secondary / secondary special,1,0,Managers
49,28,female,2,own,moderate,NA,2073,12,radio/TV,good,360000,0,Working,Secondary / secondary special,0,0,Laborers
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,good,54000,0,State servant,Higher education,0,0,Core staff
51,30,male,3,own,little,moderate,5965,27,car,good,540000,1,Commercial associate,Higher education,1,0,Managers
52,25,male,2,own,little,NA,1262,12,radio/TV,good,76500,0,Working,Secondary / secondary special,0,0,
53,31,male,2,own,NA,NA,3378,18,car,good,225000,2,Commercial associate,Higher education,0,0,Core staff
54,57,male,2,free,little,moderate,2225,36,car,bad,81000,0,Pensioner,Secondary / secondary special,1,0,
55,26,male,1,own,NA,NA,783,6,car,good,180000,0,Working,Higher education,1,1,Managers
56,52,male,3,own,NA,moderate,6468,12,radio/TV,bad,67500,0,Pensioner,Secondary / secondary special,0,0,
57,31,female,2,own,little,NA,9566,36,radio/TV,good,81000,0,Working,Secondary / secondary special,1,0,Security staff
58,23,female,3,own,little,rich,1961,18,car,good,360000,1,Working,Secondary / secondary special,0,0,Laborers
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,540000,0,Working,Higher education,0,0,Managers
60,27,male,2,own,little,moderate,1391,9,business,good,180000,0,Commercial associate,Secondary / secondary special,0,0,Accountants
61,50,male,2,own,NA,moderate,1537,15,radio/TV,good,180000,0,Working,Incomplete higher,0,1,Sales staff
62,61,male,3,free,little,moderate,1953,36,business,bad,324000,0,Pensioner,Higher education,0,0,
63,25,male,2,own,little,moderate,14421,48,business,bad,112500,0,Working,Higher education,0,0,
64,26,female,2,own,little,NA,3181,24,radio/TV,good,180000,0,Commercial associate,Secondary / secondary special,0,0,Drivers
65,48,male,2,own,NA,NA,5190,27,repairs,good,180000,0,Commercial associate,Secondary / secondary special,0,0,Core staff
66,29,female,2,own,little,NA,2171,12,radio/TV,good,180000,0,State servant,Higher education,0,0,Core staff
67,22,male,2,own,rich,moderate,1007,12,car,good,225000,0,Working,Secondary / secondary special,0,0,Laborers
68,37,male,2,free,little,NA,1819,36,education,bad,157500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
69,25,female,2,own,NA,NA,2394,36,radio/TV,good,180000,0,Commercial associate,Secondary / secondary special,0,0,Laborers
70,30,female,2,own,little,NA,8133,36,car,good,180000,2,Commercial associate,Higher education,1,0,Laborers
71,46,male,1,rent,NA,NA,730,7,radio/TV,good,103500,0,Working,Secondary / secondary special,0,0,Laborers
72,51,male,3,free,little,little,1164,8,vacation/others,good,225000,2,Working,Secondary / secondary special,0,0,Laborers
73,41,female,1,own,little,moderate,5954,42,business,good,157500,1,Working,Secondary / secondary special,0,0,Drivers
74,40,male,3,own,NA,little,1977,36,education,bad,135000,1,Commercial associate,Higher education,0,0,Laborers
75,66,male,3,free,little,little,1526,12,car,good,202500,1,Working,Secondary / secondary special,0,0,Cooking staff
76,34,male,2,own,little,little,3965,42,radio/TV,bad,112500,0,Commercial associate,Higher education,0,0,
77,51,male,2,own,little,moderate,4771,11,radio/TV,good,135000,0,Working,Secondary / secondary special,1,0,Laborers
78,39,male,1,own,NA,NA,9436,54,car,good,94500,1,Working,Secondary / secondary special,1,0,Core staff
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,108000,0,Pensioner,Higher education,0,0,
80,44,female,2,own,NA,NA,5943,24,radio/TV,bad,67500,2,Working,Secondary / secondary special,1,0,Sales staff
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,good,81000,0,Pensioner,Secondary / secondary special,0,0,
82,24,female,1,rent,moderate,NA,1568,18,business,good,157500,0,Working,Secondary / secondary special,0,0,
83,58,female,1,own,little,little,1755,24,vacation/others,good,225000,0,Working,Secondary / secondary special,0,0,Drivers
84,52,male,1,own,little,little,2315,10,radio/TV,good,360000,0,Pensioner,Secondary / secondary special,0,0,
85,29,female,3,own,little,NA,1412,12,business,good,202500,2,Working,Higher education,0,1,Managers
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,202500,0,State servant,Higher education,0,0,High skill tech staff
87,47,male,2,free,moderate,moderate,12612,36,education,bad,126000,1,Working,Secondary / secondary special,1,0,Laborers
88,30,male,3,own,moderate,little,2249,18,car,good,72000,0,Working,Secondary / secondary special,0,0,
89,28,male,2,own,little,little,1108,12,repairs,bad,90000,0,Working,Secondary / secondary special,1,0,Waiters/barmen staff
90,56,male,2,own,little,NA,618,12,radio/TV,good,193500,0,Working,Secondary / secondary special,1,0,Managers
91,54,male,2,own,little,little,1409,12,car,good,171000,3,Working,Secondary / secondary special,1,0,Sales staff
92,33,female,1,own,NA,NA,797,12,radio/TV,bad,135000,3,Commercial associate,Secondary / secondary special,0,0,Laborers
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good,112500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
94,54,male,2,own,rich,moderate,1318,12,car,good,315000,0,Commercial associate,Incomplete higher,0,0,
95,58,male,2,rent,little,moderate,15945,54,business,bad,76500,0,Working,Secondary / secondary special,0,0,Low-skill Laborers
96,61,female,2,own,NA,NA,2012,12,education,good,135000,0,Commercial associate,Higher education,0,0,Laborers
97,34,male,2,own,moderate,moderate,2622,18,business,good,90000,0,Working,Secondary / secondary special,1,0,
98,36,male,2,own,little,moderate,2337,36,radio/TV,good,243000,0,Working,Higher education,0,1,Core staff
99,36,male,3,rent,NA,moderate,7057,20,car,good,90000,0,Pensioner,Secondary / secondary special,0,0,
100,41,male,1,rent,moderate,NA,1469,24,car,good,54000,0,Working,Secondary / secondary special,0,0,Medicine staff
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,135000,0,Working,Higher education,0,0,Core staff
102,24,female,2,own,little,NA,932,6,radio/TV,good,126000,0,Working,Secondary / secondary special,1,0,Low-skill Laborers
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,76500,1,Commercial associate,Higher education,1,0,Core staff
104,26,male,2,rent,NA,NA,2445,12,car,good,103500,0,Working,Secondary / secondary special,0,0,Security staff
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,225000,0,Pensioner,Secondary / secondary special,1,1,
106,39,male,3,own,little,NA,6458,18,car,bad,126000,0,Pensioner,Secondary / secondary special,1,0,
107,32,male,2,own,little,moderate,6078,12,car,good,135000,2,Working,Secondary / secondary special,0,0,
108,30,female,2,own,NA,little,7721,24,furniture/equipment,good,112500,0,Pensioner,Secondary / secondary special,1,0,
109,35,male,2,own,quite rich,moderate,1410,14,business,good,85500,1,Working,Higher education,0,0,
110,31,male,2,own,moderate,moderate,1449,6,business,good,157500,1,Commercial associate,Incomplete higher,1,0,Sales staff
111,23,female,2,rent,little,rich,392,15,education,good,270000,0,Commercial associate,Secondary / secondary special,0,0,Realty agents
112,28,male,1,rent,little,moderate,6260,18,car,good,202500,0,Commercial associate,Secondary / secondary special,1,0,Cleaning staff
113,25,female,2,own,little,NA,7855,36,car,bad,67500,0,Working,Secondary / secondary special,0,0,Core staff
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,202500,0,Commercial associate,Secondary / secondary special,0,0,Secretaries
115,47,male,2,own,NA,NA,3578,48,radio/TV,good,135000,0,Commercial associate,Secondary / secondary special,0,0,Laborers
116,30,female,3,own,NA,little,7174,42,radio/TV,bad,157500,1,State servant,Secondary / secondary special,1,1,Laborers
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,good,225000,0,Pensioner,Secondary / secondary special,0,0,
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,135000,0,Pensioner,Higher education,0,0,
119,36,male,3,own,quite rich,moderate,2366,12,car,good,157500,1,Working,Secondary / secondary special,0,1,
120,25,female,2,own,little,little,1835,21,radio/TV,bad,157500,0,Commercial associate,Higher education,0,0,High skill tech staff
121,41,female,3,rent,little,NA,3868,24,car,good,360000,1,State servant,Higher education,0,0,High skill tech staff
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,good,162000,0,State servant,Higher education,0,0,Core staff
123,63,male,2,free,little,rich,781,10,car,good,112500,0,Working,Secondary / secondary special,0,0,Sales staff
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad,202500,1,Working,Secondary / secondary special,0,0,Laborers
125,30,male,2,own,little,little,2121,12,car,good,117000,0,Pensioner,Secondary / secondary special,0,0,
126,40,male,1,own,little,little,701,12,radio/TV,good,135000,1,Working,Secondary / secondary special,0,0,Laborers
127,30,male,2,own,little,moderate,639,12,repairs,bad,247500,0,Commercial associate,Secondary / secondary special,0,0,Medicine staff
128,34,male,3,own,little,moderate,1860,12,car,good,171000,0,Working,Secondary / secondary special,0,0,Low-skill Laborers
129,29,female,2,own,little,little,3499,12,car,bad,135000,0,Commercial associate,Higher education,0,0,Accountants
130,24,female,2,own,NA,moderate,8487,48,car,good,157500,0,Working,Secondary / secondary special,0,0,Sales staff
131,29,male,2,own,little,little,6887,36,education,bad,202500,0,Working,Secondary / secondary special,0,0,Drivers
132,27,male,1,own,little,NA,2708,15,furniture/equipment,good,144000,0,Working,Secondary / secondary special,0,0,Drivers
133,47,male,2,free,little,NA,1984,18,furniture/equipment,good,157500,0,Working,Secondary / secondary special,1,0,Laborers
134,21,female,2,own,moderate,NA,10144,60,radio/TV,good,157500,2,Commercial associate,Secondary / secondary special,0,0,Medicine staff
135,38,female,2,own,NA,NA,1240,12,radio/TV,good,180000,0,Working,Secondary / secondary special,0,0,
136,27,male,2,own,rich,NA,8613,27,car,good,180000,0,Commercial associate,Incomplete higher,1,0,Core staff
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,225000,0,Commercial associate,Secondary / secondary special,1,0,Sales staff
138,35,male,2,own,NA,moderate,2728,15,radio/TV,good,292500,0,Working,Higher education,1,0,Managers
139,44,female,1,rent,little,rich,1881,12,radio/TV,good,90000,0,Commercial associate,Secondary / secondary special,0,0,Sales staff
140,27,male,0,own,rich,rich,709,6,car,good,112500,0,Pensioner,Secondary / secondary special,0,0,
141,30,female,3,own,little,moderate,4795,36,radio/TV,good,130500,0,Working,Higher education,1,0,
142,27,male,3,own,little,little,3416,27,radio/TV,good,450000,1,Commercial associate,Higher education,0,0,Core staff
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,175500,0,Pensioner,Secondary / secondary special,1,0,
144,23,female,2,own,little,NA,2288,21,furniture/equipment,good,58500,3,Working,Secondary / secondary special,0,0,Core staff
145,30,male,2,own,moderate,moderate,3566,48,business,good,180000,0,Commercial associate,Secondary / secondary special,1,0,
146,39,female,2,own,little,little,860,6,car,good,117000,0,Working,Higher education,1,0,Core staff
147,51,female,2,own,moderate,NA,682,12,car,good,180000,2,Working,Incomplete higher,1,0,Sales staff
148,28,male,2,own,little,little,5371,36,furniture/equipment,good,202500,1,Working,Secondary / secondary special,0,0,
149,46,male,2,own,rich,NA,1582,18,radio/TV,good,135000,0,Working,Secondary / secondary special,1,0,Laborers
150,42,male,2,free,moderate,NA,1346,6,radio/TV,good,112500,1,Working,Secondary / secondary special,0,0,
151,38,male,2,own,little,NA,1924,10,radio/TV,good,119250,0,Working,Higher education,1,0,
152,24,male,2,own,little,rich,5848,36,radio/TV,good,202500,0,Commercial associate,Higher education,0,0,Managers
153,29,female,2,rent,rich,moderate,7758,24,car,good,315000,1,Commercial associate,Higher education,0,0,Accountants
154,36,male,3,rent,moderate,moderate,6967,24,business,good,157500,0,Working,Secondary / secondary special,1,0,Private service staff
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,112500,1,Working,Secondary / secondary special,0,0,Core staff
156,48,male,2,own,moderate,little,1288,9,repairs,good,103500,0,Pensioner,Secondary / secondary special,1,0,
157,45,male,1,own,little,little,339,12,education,good,58500,0,Pensioner,Secondary / secondary special,0,0,
158,38,male,2,own,moderate,moderate,3512,24,car,good,117000,0,Pensioner,Secondary / secondary special,1,0,
159,34,male,1,own,NA,NA,1898,6,radio/TV,good,225000,1,Working,Higher education,0,0,Core staff
160,36,male,2,own,moderate,NA,2872,24,radio/TV,good,135000,0,Working,Incomplete higher,1,0,Sales staff
161,30,female,2,own,little,NA,1055,18,car,good,162000,0,Commercial associate,Higher education,1,0,Laborers
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good,112500,0,Working,Higher education,0,0,High skill tech staff
163,70,male,3,free,little,moderate,7308,10,car,good,111915,0,Commercial associate,Secondary / secondary special,0,0,Core staff
164,36,male,2,own,quite rich,NA,909,36,car,good,225000,0,Commercial associate,Secondary / secondary special,0,0,
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good,157500,2,Working,Higher education,1,0,Laborers
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,90000,0,Commercial associate,Higher education,0,0,
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,164250,0,Working,Higher education,0,0,Secretaries
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,good,157500,2,Working,Secondary / secondary special,0,0,Sales staff
169,31,male,2,own,little,moderate,1935,24,business,bad,135000,1,Working,Secondary / secondary special,0,0,Drivers
170,33,male,2,rent,little,little,950,15,car,bad,112500,0,Working,Secondary / secondary special,0,0,Cleaning staff
171,26,female,2,own,little,NA,763,12,furniture/equipment,good,216000,0,Working,Secondary / secondary special,1,0,
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,180000,1,Commercial associate,Higher education,0,0,Core staff
173,33,male,2,own,little,moderate,1414,8,radio/TV,good,67500,0,Pensioner,Secondary / secondary special,0,0,
174,26,male,2,own,little,little,3414,21,education,bad,54000,0,Pensioner,Secondary / secondary special,0,0,
175,53,female,3,own,NA,NA,7485,30,car,bad,81000,1,Pensioner,Secondary / secondary special,1,0,
176,42,male,2,own,little,little,2577,12,furniture/equipment,good,63000,0,Working,Secondary / secondary special,0,0,Laborers
177,52,male,2,own,quite rich,little,338,6,radio/TV,good,157500,1,Commercial associate,Secondary / secondary special,1,1,Drivers
178,31,male,3,rent,little,NA,1963,12,radio/TV,good,157500,0,Working,Secondary / secondary special,0,0,Waiters/barmen staff
179,65,male,2,own,little,little,571,21,car,good,180000,1,Commercial associate,Secondary / secondary special,0,0,Laborers
180,28,male,2,own,little,NA,9572,36,business,bad,180000,3,Commercial associate,Higher education,0,0,High skill tech staff
181,30,male,3,own,little,moderate,4455,36,business,bad,202500,1,Working,Higher education,0,0,Core staff
182,40,male,1,own,NA,little,1647,21,car,bad,225000,3,Commercial associate,Secondary / secondary special,0,0,Cooking staff
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,good,49500,2,Working,Secondary / secondary special,0,1,Laborers
184,36,male,2,own,little,moderate,884,18,car,bad,202500,1,Commercial associate,Higher education,1,0,
185,31,male,2,own,little,NA,1360,15,radio/TV,good,90000,0,Pensioner,Secondary / secondary special,1,0,
186,74,female,3,free,little,moderate,5129,9,car,bad,90000,0,Working,Secondary / secondary special,1,0,Sales staff
187,68,male,0,free,little,moderate,1175,16,car,good,180000,0,Working,Secondary / secondary special,0,1,Laborers
188,20,male,2,own,moderate,little,674,12,radio/TV,bad,337500,0,Commercial associate,Higher education,0,0,Drivers
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,315000,1,Commercial associate,Higher education,0,1,Core staff
190,54,male,3,own,rich,NA,4591,24,business,bad,225000,0,Commercial associate,Higher education,0,0,Sales staff
191,34,male,1,free,moderate,moderate,3844,48,business,bad,225000,0,Commercial associate,Secondary / secondary special,1,0,
192,36,male,2,own,little,moderate,3915,27,business,bad,225000,2,Commercial associate,Secondary / secondary special,0,0,
193,29,male,2,rent,little,NA,2108,6,radio/TV,good,157500,2,Commercial associate,Secondary / secondary special,1,0,Sales staff
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,112500,2,Working,Secondary / secondary special,0,0,Sales staff
195,34,female,3,own,little,moderate,1501,9,education,bad,292500,0,Working,Higher education,1,0,Managers
196,28,female,2,own,little,NA,1382,6,radio/TV,good,121500,1,State servant,Secondary / secondary special,1,0,Laborers
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,157500,0,Working,Secondary / secondary special,0,0,Medicine staff
198,36,male,2,free,NA,moderate,2760,24,car,good,135000,0,Working,Secondary / secondary special,0,0,Sales staff
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,108000,1,Commercial associate,Secondary / secondary special,0,0,Drivers
200,52,male,2,own,quite rich,NA,936,9,education,good,216000,0,Working,Secondary / secondary special,0,0,
201,27,male,1,own,little,little,1168,12,car,good,67500,0,Working,Secondary / secondary special,0,0,Core staff
202,26,male,2,own,little,NA,5117,27,business,good,135000,0,Working,Secondary / secondary special,0,0,Cooking staff
203,21,male,2,rent,little,little,902,12,education,bad,112500,0,Working,Secondary / secondary special,0,0,Laborers
204,38,male,1,own,little,NA,1495,12,car,good,144000,2,Working,Secondary / secondary special,1,0,Core staff
205,38,male,3,free,little,little,10623,30,car,good,135000,2,Commercial associate,Secondary / secondary special,0,0,Laborers
206,43,male,2,own,little,NA,1935,12,furniture/equipment,good,225000,1,Working,Secondary / secondary special,0,1,Accountants
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,135000,2,Working,Secondary / secondary special,1,0,Laborers
208,21,male,1,own,little,little,6568,24,business,good,90000,0,Working,Secondary / secondary special,0,0,Drivers
209,55,male,2,own,rich,NA,1413,12,car,good,112500,0,Working,Higher education,1,0,Laborers
210,33,male,2,own,NA,NA,3074,9,radio/TV,good,247500,1,Working,Secondary / secondary special,0,0,Laborers
211,45,female,1,own,NA,NA,3835,36,radio/TV,good,135000,0,Working,Secondary / secondary special,0,0,Laborers
212,50,male,2,own,little,little,5293,27,business,bad,225000,0,Working,Secondary / secondary special,1,0,Laborers
213,66,male,3,own,little,rich,1908,30,business,bad,90000,0,Pensioner,Secondary / secondary special,0,0,
214,51,male,2,own,NA,NA,3342,36,radio/TV,good,67500,2,Working,Secondary / secondary special,0,0,Laborers
215,39,female,1,own,NA,moderate,932,6,education,good,72000,1,Working,Secondary / secondary special,0,0,Laborers
216,31,male,2,own,little,little,3104,18,business,good,202500,0,Working,Secondary / secondary special,1,0,Drivers
217,23,male,2,own,little,rich,3913,36,radio/TV,good,225000,0,Working,Secondary / secondary special,0,0,Sales staff
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,292500,0,Commercial associate,Higher education,1,0,Drivers
219,64,female,2,own,little,NA,1364,10,car,good,315000,0,Working,Secondary / secondary special,0,0,Laborers
220,26,male,1,own,little,moderate,625,12,radio/TV,good,90000,0,Pensioner,Secondary / secondary special,1,0,
221,23,female,2,rent,NA,little,1200,12,education,good,135000,0,Working,Secondary / secondary special,0,0,Cooking staff
222,30,male,2,own,little,NA,707,12,radio/TV,good,180000,0,Pensioner,Secondary / secondary special,0,0,
223,32,male,2,own,NA,NA,2978,24,business,good,180000,0,Working,Higher education,0,0,Core staff
224,30,male,2,own,little,NA,4657,15,car,good,90000,0,Commercial associate,Secondary / secondary special,0,0,Laborers
225,27,male,2,own,little,NA,2613,36,repairs,good,315000,0,Working,Secondary / secondary special,1,0,Drivers
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,108000,0,Pensioner,Higher education,1,0,
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,121500,0,Pensioner,Higher education,0,0,
228,22,male,2,own,little,NA,1478,9,radio/TV,bad,112500,0,Commercial associate,Secondary / secondary special,1,0,Sales staff
229,22,male,2,free,little,little,3149,24,furniture/equipment,good,157500,0,Commercial associate,Secondary / secondary special,0,0,
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,225000,0,Commercial associate,Higher education,1,0,Managers
231,51,male,1,free,quite rich,NA,2507,9,car,good,85500,0,Working,Secondary / secondary special,0,0,Laborers
232,35,male,2,own,moderate,NA,2141,12,radio/TV,good,180000,0,Commercial associate,Secondary / secondary special,0,0,Laborers
233,25,male,1,own,little,moderate,866,18,radio/TV,good,90000,0,Pensioner,Higher education,1,0,
234,42,male,1,own,little,NA,1544,4,radio/TV,good,135000,1,Working,Secondary / secondary special,1,0,Sales staff
235,30,male,3,own,little,little,1823,24,radio/TV,bad,157500,0,Working,Secondary / secondary special,0,0,Medicine staff
236,23,male,0,own,NA,moderate,14555,6,car,bad,308250,0,Working,Secondary / secondary special,1,0,Drivers
237,61,male,1,rent,moderate,moderate,2767,21,business,bad,108000,0,Pensioner,Secondary / secondary special,0,0,
238,35,female,2,own,little,NA,1291,12,radio/TV,good,135000,0,Working,Secondary / secondary special,0,0,Private service staff
239,39,male,2,own,little,little,2522,30,radio/TV,good,67500,0,Pensioner,Secondary / secondary special,1,0,
240,29,female,2,own,NA,little,915,24,car,bad,180000,0,Pensioner,Secondary / secondary special,0,0,
241,51,male,2,own,little,NA,1595,6,radio/TV,good,112500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
242,24,male,2,free,little,little,4605,48,car,bad,73341,0,Commercial associate,Higher education,0,0,Managers
243,27,female,2,own,little,NA,1185,12,business,good,135000,0,Commercial associate,Secondary / secondary special,0,0,Sales staff
244,35,female,1,own,quite rich,NA,3447,12,education,good,180000,2,Working,Higher education,1,1,Laborers
245,25,male,2,own,little,NA,1258,24,business,good,112500,0,Working,Secondary / secondary special,0,0,Cooking staff
246,52,male,2,own,little,NA,717,12,radio/TV,good,121500,1,Working,Secondary / secondary special,0,0,Drivers
247,35,male,2,rent,moderate,NA,1204,6,car,good,202500,0,Pensioner,Higher education,1,0,
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,157500,0,Working,Secondary / secondary special,0,0,Laborers
249,22,female,2,rent,little,NA,433,18,radio/TV,bad,202500,0,Working,Higher education,1,0,Managers
250,39,female,1,own,rich,little,666,6,car,good,135000,0,Working,Secondary / secondary special,0,1,Core staff
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,153000,1,Working,Incomplete higher,1,1,Sales staff
252,24,female,2,own,little,moderate,2150,30,car,bad,202500,0,Pensioner,Secondary / secondary special,0,1,
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good,202500,0,Working,Higher education,0,0,Managers
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good,157500,0,Commercial associate,Secondary / secondary special,1,0,Core staff
255,27,male,1,own,NA,moderate,7418,60,radio/TV,good,225000,1,Commercial associate,Secondary / secondary special,0,0,Laborers
